Minerals,SiO2,Al2O3,Fe2O3,Na2O,CaO,MgO,FeO,K2O,P2O5,MnO,Mn2O3,TiO2,H2O,CO2,F,Cl,Li2O,BeO,B2O3,SnO2,C2O3,WO3,CuO,Cu2O,PbO,ZnO,BaO,SrO,VO2,V2O3,V2O5,CrO,Cr2O3,NiO,CoO,SO2,As2O3,As2O5,SO3,S2O5,Sb2O3,La2O3,Ce2O3,Pr2O3,Nd2O3,Sm2O3,Eu2O3,Gd2O3,Tb2O3,Dy2O3,Ho2O3,Er2O3,Tm2O3,Yb2O3,Lu2O3,REE2O3,Sc2O3,Y2O3,HfO2,ZrO2,ThO2,UO2,UO3,U2O3,Ga2O3,Ta2O5,Nb2O5
Fluorcalciobritholite,16.41,0,0,0,22.11,0,0,0,10.59,0.3,0,0,0,0,2.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,12.39,21.49,1.86,6.16,0.74,0,0.77,0,0.53,0,0.27,0,0.55,0,0,0,2.86,0,0,1.49,0,0,0,0,0,0
Manganonordite-(Ce),45.51,0,0,11.74,0,0,0,0,0,8.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferronordite-(Ce),45.46,0,0,11.72,0,0,9.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qaqarssukite-(Ce),0,0,0,0,2.81,0,0,0,0,0,0,1.47,0,23.19,5.05,0,0,0,0,0,0,0,0,0,0,0,27.46,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,9.01,20.32,1.74,6.65,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rinkite,29.3,0,0,9.44,27.34,0,0,0,0,0,0,7.3,0,0,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05
Loparite-(Ce),0,0,0,11.3,3.41,0,0,0,0,0,0,38.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,19.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.15
Karnasurtite-(Ce),22.68,8.26,0,1.03,0,0.98,1.6,0,3.62,0,0,13.48,7,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06,19.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.04,0,0,0,0,0,9.15
Gadolinite-(Ce),21.24,0.09,0,0,0,0.28,9.31,0,0,1.24,0,0.14,0,0,0,0,0,8.14,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.83,19.53,0,0,0,0,0,0,0,0,0,0,0,0,20.88,0,6.32,0,0,0,0,0,0,0,0,0
Britholite-(Ce),21.27,0,0,0,20.59,0,0,0,4.65,0,0,0,0.94,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.54,19.37,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.77,0,0,0,0,0,0
Aeschynite-(Nd),0,0,0,0,0,0,0,0,0,0,0,40.33,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.94,0,29.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59
Belovite-(La),0,0,0,0,1.62,0,0,0,24.56,0,0,0,1.04,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,26.89,0,0,0,0,0,0,0,0,0,0,0,0,0,28.18,18.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cerotungstite-(Ce),0,0,0,0,0,0,0,0,0,0,0,0,4.12,0,0,0,0,0,0,0,0,70.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.77,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0
Carbocernaite,0,0,0,2.93,15.92,0,0,0,0,0,0,0,0,33.32,0,0,0,0,0,0,0,0,0,0,0,0,5.8,23.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remondite-(La),0,0,0,16.51,5.47,0,0,0,0,0,0,0,0,35.21,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,20.85,17.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perrierite-(Ce),20,0.42,0,0.52,4.2,0.34,7.77,0,0,1.77,0,18.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,20.33,17.75,0,0,0,0,0,0,0,0,0,0,0,0,5.59,0,0,0,0,1.1,0,0,0,0,0,0
Byelorussite-(Ce),34.21,0,0,2.21,0,0,0,0,0,5.05,0,11.37,1.44,0,1.01,0,0,0,0,0,0,0,0,0,0,0,21.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,17.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yttrocerite,0,0,0,0,23.68,0,0,0,0,0,0,0,0,0,40.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.76,0,0,0,0,0,0,0,0,0
Laplandite-(Ce),44.29,0,0,13.05,0,0,0,0,7.47,0,0,8.41,9.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fergusonite-beta-(Nd),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.25,5.78,23.58,6.11,0,0,0,0,0,0,0,0,0,0,0,3.96,0,0,0,0,0,0,0,0,41.92
Monazite-(La),0,0,0,0,0,0,0,0,29.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.95,17.1,0,14.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0
Orthochevkinite,20.53,0,5.12,1.06,2.87,1.72,9.21,0,0,0,0,15.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7,16.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.02,0,0,0,0,0,0
Allanite-(Y),30.11,19.16,10,0,2.81,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.63,0,0,0,0,0,0,0,0,0
Rhabdophane-(La),0,0,0,0,0,0,0,0,28.14,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.45,16.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tornebohmite-(La),23.72,10.06,0,0,0,0,0,0,0,0,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.24,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Graulichite-(Ce),0,3.14,31.43,0,0,0,0,0,0,0,0,0,8.49,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,0.3,0,0,0,0,0,0,0,0,0,31.9,0,0.11,0,2.39,16.15,0,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zhonghuacerite-(Ce),0,0,0,0,0,0,0,0,0,0,0,0,0,21.51,3.09,0,0,0,0,0,0,0,0,0,0,0,49.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.96,16.04,0,2.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nioboaeschynite-(Nd),0,0,0,0,0,0,0,0,0,0,0,4.82,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.85,0,24.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.16
Braitschite-(Ce),0,0,0,7.63,17.27,0,0,0,0,0,0,0,7.77,0,0,0,0,0,47.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02,15.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chukhrovite-(Ce),0,12.36,0,0,20.4,0,0,0,0,0,0,0,21.84,0,29.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.71,0,0,0,14.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0
Arsenoflorencite-(Ce),0,26,0,0,0,0,0,0,3.62,0,0,0,9.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.22,0,0,0,8.31,13.95,0,0,0,0,0,0,0,0,0,0,0,0,5.71,0,0,0,0,0,0,0,0,0,0,0
Nacareniobsite-(Ce),28.93,0,0,9.7,19.58,0,0,0,0,0,0,2.88,0,0,8.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84,13.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2
Cheralite-(Ce),2.51,0,0,0,7.01,0,0,0,26.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.79,13.68,0,7.01,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,33.02,0,0,0,0,0,0
Phosinaite-(Ce),19.97,0,0,33.48,9.32,0,0,0,23.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monazite-(Nd),6.24,0,0,0,0,0,0,0,22.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.92,13.64,0,34.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.48,0,0,0,0,0,0
Lanthanite-(La),0,0,0,0,0,0,0,0,0,0,0,0,23.92,21.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.55,13.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khristovite-(Ce),29.51,9.18,0,0,7.34,2.64,1.18,0,0,11.61,0,1.31,1.47,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0,1.24,0,0,0,0,0,0,0,0,0,13.43,0,0,0,0,0,0,0,0,0,0,0,0,19.25,0,0,0,0,0,0,0,0,0,0,0
Nordite-(Ce),46.41,0,2.09,11.36,3.67,1.58,0.94,0,0,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26,0,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,12.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yttrotungstite-(Ce),0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,72.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.76,0,6.54,0,0,0,0,0,0,0,0,0,0,0,0,4.39,0,0,0,0,0,0,0,0,0
Kemmlitzite,2.32,27.61,1.54,0,1.08,0.78,0,0,5.49,0,0,0,12.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.02,0,0,0,0,0,0,0,0,0,22.23,6.19,0,0,0,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manganiandrosite-(Ce),30.07,8.5,3.06,0,3.93,0.27,0,0,0,18.46,8.82,1.33,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,12.59,0,3.37,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kainosite-(Y),36.19,0,0,0,16.89,0,0,0,0,0,0,0,5.15,4.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5,0,0,0,0,0,0,0,0,0
Dissakisite-(Ce),30.07,10.21,5.99,0,9.36,7.4,5.39,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.32,0,0,0,0,0,0,0,0,0,0,0,0,18.22,0,0,0,0,0,0,0,0,0,0,0
Zugshunstite-(Ce),0,6.87,1.2,0,0,0,0,0,0,0,0,0,32.39,0,0,0,0,0,0,0,10.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.99,0,0,2.44,12.29,2.47,7.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fergusonite-(Nd),0,0,0,0,0,0,5.38,0,0,0,0,5.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.29,0,18.89,0,0,0,0,0,0,0,0,0,0,18.86,0,0,0,0,0,0,0,0,0,0,39.8
Parisite-(Nd),0,0,0,0,10.1,0,0,0,0,0,0,0,0,23.79,6.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.48,11.83,0,27.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yttrobetafite-(Y),0,0,1.83,0,7.7,0,4.93,0,0,0,0,21.93,1.44,0,0,0,0,0,0,0,0,0,0,0,10.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.33,0,0,6.04,6.18,0,0,0,1.01,18.24
Retzian-(La),0,0,0,0,0,4.57,0,0,0,24.11,0,0,8.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.04,0,0,0,22.15,11.16,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zirsilite-(Ce),45.38,0,0,9.13,10.16,0,0,0,0,6.43,0,0,1.36,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.17,0,0,0,0,0,0,4.01
Monazite-(Sm),0,0,0,0,2.53,0,0,0,28.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.13,0,7.6,15.76,0,16.38,0,0,0,0,0,0,0,0,0,0,0,0,17.9,0,0,0,0,0,0
Vanadoandrosite-(Ce),31.04,10.18,1.37,0,5.7,0.21,2.85,0,0,11.97,0,0.14,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,14.32,0,0,0,0,0,0,0,0,0,0,0,4.21,11.02,0,2.9,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uedaite-(Ce),30.82,16.47,0,0,2.49,0.07,16.46,0,0,6.19,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06,10.94,1.97,6.62,1.49,0,0.62,0,0,0,0,0,0,0,0,0,0.77,0,0,0.45,0,0,0,0,0,0
Ancylite-(La),0,0,0,0,0,0,0,0,0,0,0,0,7.08,23.05,0,0,0,0,0,0,0,0,0,0,0,0,0,27.13,0,0,0,0,0,0,0,0,0,0,0,0,0,31.99,10.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Retzian-(Nd),0,0,0,0,0,0,0,0,0,30.89,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.02,0,0,0,3.55,10.72,0,21.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cervandonite-(Ce),17.99,4.02,5.03,0,0,0,13.59,0,0,0,0,11.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.15,0,0,0,0,5.14,10.35,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,1.78,0,0,4.16,0,0,0,0,0,0
Bussyite-(Ce),40.22,0.85,0,7.93,5.56,0.04,0,0.05,0,2.59,0,0,2.26,0,3.82,0,0,8.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76,10.16,1.28,4.72,1.04,0.11,1.06,0,0,0,0,0,0,0,0,0,2.06,0,0,3.44,0,0,0,0,0,0
Tantalaeschynite-(Y),0,0,0,0,1.12,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.56,0,0,0,0,0,0,0,66.32,5.32
Kuannersuite-(Ce),0.49,0,0,3.89,0,0,0,0,25.07,0,0,0,0,0,1.89,1.21,0,0,0,0,0,0,0,0,0,0,50.46,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39,9.63,0,4.24,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0
Brannerite,0,0,0,0,4.74,0,10.12,0,0,0,0,33.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.05,0,0,0,0,0
Orthojoaquinite-(La),33.63,0,0.56,2.38,0,0,5.03,0.33,0,0.5,0,8.94,1.51,0,0.27,0,0,0,0,0,0,0,0,0,0,0,21.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.26,9.19,1.15,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79
Zirconolite,0,1.4,0,0,12.33,0,5.92,0,0,0,0,32.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.86,0,0,0,0,0,0,3.65
Vigezzite,0,0,0,0,12.05,0,0,0,0,0,0,10.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.62,32.14
Sazhinite-(La),54.02,0,0,13.62,0.69,0,0,0.14,0,0,0,0,5.52,0,0.41,0,0.02,0,0.05,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0.74,0,0,10.23,8.8,0.51,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0.19,3.64,0.41,0,0,0,0,0
Thomasclarkite-(Y),0,0,0,6.6,0,0,0,0,0,0,0,0,28.77,11.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.73,0,0,0,0,0,0,0,0,0,0,0,0,31.3,0,15.02,0,0,0,0,0,0,0,0,0
Nordite-(La),46.43,0,2.09,11.36,3.67,1.58,0.94,0,0,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26,0,6.79,0,0,0,0,0,0,0,0,0,0,0,0,0,10.67,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fersmite,0,0,0,0.79,10.04,0,0,0,0,0,0,0.41,2.3,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89,0,0,3.38,0,0,0,0,16.95,57.79
Fluocerite-(La),0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.79,8.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tadzhikite-(Y),24.27,3.09,1.61,0,22.65,0,0,0,0,0,0,9.68,1.82,0,0,0,0,0,14.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1,0,0,0,0,0,0,0,0,0
Eudialyte,48.45,0,0,12.49,8.48,0,4.34,0,0,2.14,0,0,1.36,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,12.42,0,0,0,0,0,0,0
Ferronordite-(La),44.42,0.13,0,11.34,0.56,0.3,3.77,0,0,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34,0.38,12.81,0,0,0,0,0,0,0,0,0,0,0,0,0,11.39,8.2,1.03,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thorbastnasite,0,0,0,0,8.26,0,0,0,0,0,0,0,10.61,17.29,7.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.85,0,0,0,0,0,0
Khanneshite,0,0,0,11.37,8.69,0,0,0,0,0,0,0,0,35.9,0,0,0,0,0,0,0,0,0,0,0,0,25.01,8.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florencite-(La),0,29.86,0,0,0,0,0,0,27.72,0,0,0,10.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.86,8.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hellandite-(Y),23.35,3.71,0,0,16.34,0,0,0,0,0,0,0,1.75,0,0,0,0,0,13.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.97,0,0,0,0,0,0,0,0,0,0,0,0,16.32,0,16.45,0,0,0,0,0,0,0,0,0
Florencite-(Nd),0,29.63,0,0,0,0,0,0,27.5,0,0,0,10.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.95,0,24.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cebaite-(Nd),0,0,0,0,0,0,0,0,0,0,0,0,0,21.23,3.67,0,0,0,0,0,0,0,0,0,0,0,44.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.92,0,24.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilimaussite-(Ce),29.21,0.38,1.95,5.11,0,0,0,3.92,0,0,0.33,3.51,4.3,0,0.52,0,0,0,0,0,0,0,0,0,0,0,24.62,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,7.87,2.52,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0,0,0,10.69
Dissakisite-(La),32.37,17,2.17,0.01,12.15,4.55,3.13,0,0.1,0.12,0,0.43,1.63,0,0.03,0,0,0,0,0,0,0,0,0,0,0.22,0,0.19,0.12,0,0,1.83,0,0.14,0,0,0,0,0,0,0,9.31,7.8,0.57,1.16,0.06,0,0.03,0,0,0,0.03,0,0,0,0,0.03,0,0,0,4.31,0.15,0,0,0.02,0,0
Francoisite-(Ce),0,0,0,0,0.44,0,0,0,11.16,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.74,0,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.66,0,0,0,0,0
Brockite,0,0,0,0,15.25,0,0,0,32.16,0,0,0,8.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.9,0,0,0,0,0,0
Iraqite-(La),57.71,0.94,0,0.38,12.01,0,0,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.98,7.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.31,0,0,0,0,0,0
Burbankite,0,0,0,9.66,6.35,0,0,0,0,0,0,0,0,31.17,0,0,0,0,0,0,0,0,0,0,0,0,19.55,26.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diversilite-(Ce),32.04,0,0,2.73,0.1,0,3.07,5.74,0,1.06,0,9.07,6.14,0,0,0,0,0,0,0,0,0,0,0,0,0,24.56,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,6.64,0.73,1.18,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58
Davidite-(Ce),0,0,21.33,0,0,0,0,0,0,0,0,64.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18,6.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52,0,0,0,3.61,0,0,0,0,0
Semenovite,43.41,0.71,2.43,11.14,6.1,0,0.8,0.1,0,1.82,0,0,1.94,0,4.57,0,0,8.32,0,0,0,0,0,0,0.48,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.95,6.48,0,0,0,0,0,0,0,0,0,0,0,0,3.94,0,1.93,0,0,0,0,0,0,0,0,0
