Minerals,SiO2,Al2O3,Fe2O3,Na2O,CaO,MgO,FeO,K2O,P2O5,MnO,Mn2O3,TiO2,H2O,CO2,F,Cl,Li2O,BeO,B2O3,SnO2,C2O3,WO3,CuO,Cu2O,PbO,ZnO,BaO,SrO,VO2,V2O3,V2O5,CrO,Cr2O3,NiO,CoO,SO2,As2O3,As2O5,SO3,S2O5,Sb2O3,La2O3,Ce2O3,Pr2O3,Nd2O3,Sm2O3,Eu2O3,Gd2O3,Tb2O3,Dy2O3,Ho2O3,Er2O3,Tm2O3,Yb2O3,Lu2O3,REE2O3,Sc2O3,Y2O3,HfO2,ZrO2,ThO2,UO2,UO3,U2O3,Ga2O3,Ta2O5,Nb2O5
Rontgenite-(Ce),0,0,0,0,13.09,0,0,0,0,0,0,0,0,25.69,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26,43.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ancylite-(Ce),0,0,0,0,0,0,0,0,0,0,0,0,7.06,23,0,0,0,0,0,0,0,0,0,0,0,0,0,27.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haleniusite-(La),0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.84,41.29,1.89,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lanthanite-(Ce),0,0,0,0,0,0,0,0,0,0,0,0,23.87,21.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.49,40.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huanghoite-(Ce),0,0,0,0,0,0,0,0,0,0,0,0,0,21.14,4.56,0,0,0,0,0,0,0,0,0,0,0,36.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordylite-(Ce),0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,5.98,0,0,0,0,0,0,0,0,0,0,0,24.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.83,38.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tornebohmite-(Ce),23.61,10.02,0,0,0,0,0,0,0,0,0,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,38.69,0,9.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Retzian-(Ce),0,0,0,0,0,0,0,0,0,31.05,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.15,0,0,0,0,35.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceriopyrochlore-(Ce),0,0,0,0,6,0,1.28,0,0,0,0,0,1.21,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0,2.2,0,0,0,0,0,31.54,18.97
Wakefieldite-(Ce),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.75,0,0,0,0,0,32.26,0,0,0,0,0,0,0,0,0,0,0,34.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashcroftine-(Ce),39.53,0,0,3.64,3.95,0,0,5.53,0,0,0,0,3.81,8.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monazite-(Ce),0,0,0,0,0,0,0,0,29.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.95,34.16,0,14.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0
Parisite-(Ce),0,0,0,0,10.44,0,0,0,0,0,0,0,0,24.58,7.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.29,33.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stillwellite-(Ce),24.44,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.88,33.38,0,6.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fergusonite-(Ce),0,0,0,0,0,0,0,0,0,0,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.46,33.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,44.76
Belovite-(Ce),0,0,0,3.11,3.76,0,0,0,28.52,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Percleveite-(Ce),27.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.09,32.25,3.35,13.3,2.76,0,2.46,0,0.42,0,0,0,0,0,0,0,3.06,0,0,0,0,0,0,0,0,0
Aeschynite-(Ce),0,0,0,0,5.5,0,2.35,0,0,0,0,45.73,2.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.87
Remondite-(Ce),0,0,0,15.7,1.83,0,0,0,0,0,0,0,0,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,10.65,32.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allanite-(Ce),29.32,18.66,9.74,0,5.47,0,0,0,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51,0,0,0,0,0,0,0,0,0
Florencite-(Ce),0,29.81,0,0,0,0,0,0,27.67,0,0,0,10.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cebaite-(Ce),0,0,0,0,0,0,0,0,0,0,0,0,0,21.36,3.69,0,0,0,0,0,0,0,0,0,0,0,44.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
